state,total
Delaware,22.9
Delaware,17.5
Delaware,14.4
Delaware,51.6
Delaware,51.6
Delaware,70.1
Delaware,22.6
Delaware,0.6
Delaware,4.0
Delaware,0.1
Delaware,2.6
Delaware,9.2
Delaware,62.9
Delaware,71213.0
Delaware,8.7
Delaware,426149.0
Delaware,405885.0
Delaware,71.2
Delaware,231500.0
Delaware,1537.0
Delaware,445.0
Delaware,1018.0
Delaware,5804.0
Delaware,344022.0
Delaware,2.62
Delaware,86.6
Delaware,12.9
Delaware,88.4
Delaware,30.0
Delaware,8.5
Delaware,6.6
Delaware,63.1
Delaware,59.4
Delaware,2148437.0
Delaware,7003251.0
Delaware,22597384.0
Delaware,5628914.0
Delaware,14456001.0
Delaware,15763.0
Delaware,25.5
Delaware,60509.0
Delaware,30554.0
Delaware,11.7
Delaware,24852.0
Delaware,397385.0
Delaware,21305227.0
Delaware,1.5
Delaware,60734.0
Delaware,73418.0
Delaware,38328.0
Delaware,23964.0
Delaware,14440.0
Delaware,54782.0
Delaware,7206.0
Delaware,60318.0
Delaware,460.8
Delaware,1948.54
Florida,20612439.0
Florida,18804592.0
Florida,9.6
Florida,18801310.0
Florida,5.5
Florida,5.7
Florida,20.1
Florida,21.3
Florida,19.9
Florida,17.3
Florida,51.1
Florida,51.1
Florida,77.6
Florida,16.8
Florida,0.5
Florida,2.9
Florida,0.1
Florida,2.1
Florida,24.9
Florida,54.9
Florida,1507738.0
Florida,19.7
Florida,9301642.0
Florida,8989580.0
Florida,65.3
Florida,159000.0
Florida,1435.0
Florida,463.0
Florida,1002.0
Florida,116240.0
Florida,7300494.0
Florida,2.63
Florida,83.8
Florida,28.1
Florida,86.9
Florida,27.3
Florida,8.5
Florida,15.3
Florida,58.8
Florida,54.7
Florida,49817925.0
Florida,124061425.0
Florida,96924106.0
Florida,252626608.0
Florida,273867145.0
Florida,14177.0
Florida,26.4
Florida,47507.0
Florida,26829.0
Florida,14.7
Florida,532830.0
Florida,7777990.0
Florida,337074525.0
Florida,4.5
Florida,2040339.0
Florida,2100187.0
Florida,1084885.0
Florida,807817.0
Florida,926112.0
Florida,1121749.0
Florida,185756.0
Florida,1846686.0
Florida,350.6
Florida,53624.76
Georgia,10310371.0
Georgia,9688680.0
Georgia,6.4
Georgia,9687653.0
Georgia,6.4
Georgia,7.1
Georgia,24.4
Georgia,25.7
Georgia,13.1
Georgia,10.7
Georgia,51.3
Georgia,51.2
Georgia,61.2
Georgia,32.0
Georgia,0.5
Georgia,4.1
Georgia,0.1
Georgia,2.1
Georgia,9.4
Georgia,53.4
Georgia,670617.0
Georgia,9.8
Georgia,4218776.0
Georgia,4088801.0
Georgia,63.3
Georgia,148100.0
Georgia,1346.0
Georgia,392.0
Georgia,879.0
Georgia,51675.0
Georgia,3574362.0
Georgia,2.73
Georgia,84.0
Georgia,13.6
Georgia,85.4
Georgia,28.8
Georgia,8.8
Georgia,14.8
Georgia,62.3
Georgia,57.9
Georgia,18976611.0
Georgia,51800643.0
Georgia,155836792.0
Georgia,143645290.0
Georgia,119801495.0
Georgia,12077.0
Georgia,27.4
Georgia,49620.0
Georgia,25737.0
Georgia,16.0
Georgia,224593.0
Georgia,3692490.0
Georgia,174839354.0
Georgia,4.0
Georgia,870897.0
Georgia,929864.0
Georgia,480578.0
Georgia,376506.0
Georgia,371588.0
Georgia,538893.0
Georgia,96787.0
Georgia,800585.0
Georgia,168.4
Georgia,57513.49
Hawaii,1428557.0
Hawaii,1360301.0
Hawaii,5.0
Hawaii,1360301.0
Hawaii,6.4
Hawaii,6.4
Hawaii,21.6
Hawaii,22.3
Hawaii,17.1
Hawaii,14.3
Hawaii,49.8
Hawaii,49.9
Hawaii,25.8
Hawaii,2.2
Hawaii,0.4
Hawaii,37.7
Hawaii,10.2
Hawaii,23.7
Hawaii,10.4
Hawaii,22.1
Hawaii,110238.0
Hawaii,17.7
Hawaii,537114.0
Hawaii,519508.0
Hawaii,56.9
Hawaii,515300.0
Hawaii,2270.0
Hawaii,505.0
Hawaii,1438.0
Hawaii,3369.0
Hawaii,450572.0
Hawaii,3.02
Hawaii,85.1
Hawaii,25.2
Hawaii,91.0
Hawaii,30.8
Hawaii,6.5
Hawaii,4.2
Hawaii,61.5
Hawaii,58.8
Hawaii,9536706.0
Hawaii,8136947.0
Hawaii,9607982.0
Hawaii,18901745.0
Hawaii,13576.0
Hawaii,26.8
Hawaii,69515.0
Hawaii,29822.0
Hawaii,9.3
Hawaii,31915.0
Hawaii,523677.0
Hawaii,22068393.0
Hawaii,0.9
Hawaii,104707.0
Hawaii,118454.0
Hawaii,60409.0
Hawaii,44453.0
Hawaii,74208.0
Hawaii,38510.0
Hawaii,11148.0
Hawaii,101334.0
Hawaii,211.8
Hawaii,6422.63
Idaho,1683140.0
Idaho,1567650.0
Idaho,7.4
Idaho,1567582.0
Idaho,6.8
Idaho,7.8
Idaho,26.0
Idaho,27.4
Idaho,15.1
Idaho,12.4
Idaho,49.9
Idaho,49.9
Idaho,93.3
Idaho,0.8
Idaho,1.8
Idaho,1.5
Idaho,0.2
Idaho,2.4
Idaho,12.3
Idaho,82.4
Idaho,119711.0
Idaho,6.1
Idaho,700825.0
Idaho,667796.0
Idaho,68.9
Idaho,162900.0
Idaho,1189.0
Idaho,340.0
Idaho,743.0
Idaho,12165.0
Idaho,589320.0
Idaho,2.69
Idaho,82.4
Idaho,10.6
Idaho,89.5
Idaho,25.9
Idaho,9.0
Idaho,11.8
Idaho,62.6
Idaho,56.8
Idaho,2680225.0
Idaho,7895614.0
Idaho,20201432.0
Idaho,17906012.0
Idaho,20444278.0
Idaho,12812.0
Idaho,20.2
Idaho,47583.0
Idaho,23399.0
Idaho,14.4
Idaho,44757.0
Idaho,546524.0
Idaho,21119617.0
Idaho,3.0
Idaho,122221.0
Idaho,146642.0
Idaho,70438.0
Idaho,45121.0
Idaho,10592.0
Idaho,130973.0
Idaho,12804.0
Idaho,124314.0
Idaho,19.0
Idaho,82643.12
Illinois,12801539.0
Illinois,12831574.0
Illinois,-0.2
Illinois,12830632.0
Illinois,6.0
Illinois,6.5
Illinois,22.9
Illinois,24.4
Illinois,14.6
Illinois,12.5
Illinois,50.9
Illinois,51.0
Illinois,77.2
Illinois,14.7
Illinois,0.6
Illinois,5.5
Illinois,0.1
Illinois,1.9
Illinois,17.0
Illinois,61.7
Illinois,668933.0
Illinois,14.0
Illinois,5326970.0
Illinois,5296715.0
Illinois,66.4
Illinois,173800.0
Illinois,1636.0
Illinois,574.0
Illinois,907.0
Illinois,22603.0
Illinois,4786388.0
Illinois,2.63
Illinois,86.8
Illinois,22.7
Illinois,87.9
Illinois,32.3
Illinois,7.1
Illinois,7.4
Illinois,65.6
Illinois,60.7
Illinois,27937381.0
Illinois,83431778.0
Illinois,281037755.0
Illinois,295456992.0
Illinois,166634514.0
Illinois,12942.0
Illinois,28.4
Illinois,57574.0
Illinois,30494.0
Illinois,13.0
Illinois,318266.0
Illinois,5427549.0
Illinois,289183546.0
Illinois,2.2
Illinois,968330.0
Illinois,1135017.0
Illinois,609648.0
Illinois,417500.0
Illinois,311684.0
Illinois,795129.0
Illinois,89110.0
Illinois,1006885.0
Illinois,231.1
Illinois,55518.93
Indiana,6633053.0
Indiana,6484136.0
Indiana,2.3
Indiana,6483802.0
Indiana,6.4
Indiana,6.7
Indiana,23.8
Indiana,24.8
Indiana,14.9
Indiana,13.0
Indiana,50.7
Indiana,50.8
Indiana,85.6
Indiana,9.7
Indiana,0.4
Indiana,2.2
Indiana,0.1
Indiana,2.0
Indiana,6.8
Indiana,79.6
Indiana,426493.0
Indiana,4.8
Indiana,2854546.0
Indiana,2795541.0
Indiana,69.0
Indiana,124200.0
Indiana,1102.0
Indiana,378.0
Indiana,745.0
Indiana,18713.0
Indiana,2501937.0
Indiana,2.55
Indiana,85.0
Indiana,8.3
Indiana,87.8
Indiana,24.1
Indiana,9.7
Indiana,9.4
Indiana,63.9
Indiana,59.0
Indiana,13076602.0
Indiana,42493117.0
Indiana,242763842.0
Indiana,81173422.0
Indiana,85857962.0
Indiana,13133.0
Indiana,23.3
Indiana,49255.0
Indiana,25346.0
Indiana,14.1
Indiana,145116.0
Indiana,2660503.0
Indiana,113315432.0
Indiana,2.2
Indiana,403546.0
Indiana,479059.0
Indiana,253533.0
Indiana,162798.0
Indiana,61252.0
Indiana,405090.0
Indiana,45174.0
Indiana,412543.0
Indiana,181.0
Indiana,35826.11
Iowa,3134693.0
Iowa,3046869.0
Iowa,2.9
Iowa,3046355.0
Iowa,6.4
Iowa,6.6
Iowa,23.3
Iowa,23.9
Iowa,16.4
Iowa,14.9
Iowa,50.3
Iowa,50.5
Iowa,91.4
Iowa,3.7
Iowa,0.5
Iowa,2.5
Iowa,0.1
Iowa,1.8
Iowa,5.8
Iowa,86.2
Iowa,211066.0
Iowa,4.7
Iowa,1380162.0
Iowa,1336417.0
Iowa,71.5
Iowa,129200.0
Iowa,1171.0
Iowa,434.0
Iowa,697.0
Iowa,14317.0
Iowa,1236409.0
Iowa,2.42
Iowa,84.8
Iowa,7.4
Iowa,91.5
Iowa,26.7
Iowa,7.9
Iowa,5.0
Iowa,67.6
Iowa,63.3
Iowa,5468687.0
Iowa,18583828.0
Iowa,116668830.0
Iowa,62318301.0
Iowa,44905624.0
Iowa,14607.0
Iowa,18.9
Iowa,53183.0
Iowa,27950.0
Iowa,11.8
Iowa,80952.0
Iowa,1338418.0
Iowa,55079743.0
Iowa,1.7
Iowa,207167.0
Iowa,259121.0
Iowa,135382.0
Iowa,82345.0
Iowa,14707.0
Iowa,236561.0
Iowa,25889.0
Iowa,217779.0
Iowa,54.5
Iowa,55857.13
Kansas,2907289.0
Kansas,2853129.0
Kansas,1.9
Kansas,2853118.0
Kansas,6.7
Kansas,7.2
Kansas,24.6
Kansas,25.5
Kansas,15.0
Kansas,13.2
Kansas,50.2
Kansas,50.4
Kansas,86.6
Kansas,6.2
Kansas,1.2
Kansas,3.0
Kansas,0.1
Kansas,2.9
Kansas,11.6
Kansas,76.3
Kansas,198396.0
Kansas,6.9
Kansas,1259864.0
Kansas,1233215.0
Kansas,66.7
Kansas,132000.0
Kansas,1282.0
Kansas,455.0
Kansas,757.0
Kansas,9807.0
Kansas,1113472.0
Kansas,2.53
Kansas,83.5
Kansas,11.3
Kansas,90.2
Kansas,31.0
Kansas,8.6
Kansas,10.1
Kansas,66.3
Kansas,61.6
Kansas,4873411.0
Kansas,18248370.0
Kansas,86076260.0
Kansas,60226324.0
Kansas,38276461.0
Kansas,13263.0
Kansas,19.1
Kansas,52205.0
Kansas,27706.0
Kansas,12.1
Kansas,74526.0
Kansas,1189876.0
Kansas,51259676.0
Kansas,1.0
Kansas,195777.0
Kansas,239118.0
Kansas,125169.0
Kansas,77194.0
Kansas,26127.0
Kansas,204562.0
Kansas,21610.0
Kansas,203401.0
Kansas,34.9
Kansas,81758.72
Kentucky,4436974.0
Kentucky,4339344.0
Kentucky,2.2
Kentucky,4339367.0
Kentucky,6.2
Kentucky,6.5
Kentucky,22.8
Kentucky,23.6
Kentucky,15.6
Kentucky,13.3
Kentucky,50.7
Kentucky,50.8
Kentucky,88.0
Kentucky,8.3
Kentucky,0.3
Kentucky,1.5
Kentucky,0.1
Kentucky,1.9
Kentucky,3.5
Kentucky,85.0
Kentucky,297312.0
Kentucky,3.4
Kentucky,1965556.0
Kentucky,1927164.0
Kentucky,67.2
Kentucky,123200.0
Kentucky,1112.0
Kentucky,339.0
Kentucky,675.0
Kentucky,12714.0
Kentucky,1708499.0
Kentucky,2.5
Kentucky,84.7
Kentucky,5.1
Kentucky,84.2
Kentucky,22.3
Kentucky,12.9
Kentucky,6.0
Kentucky,59.1
Kentucky,54.9
Kentucky,7500115.0
Kentucky,26264745.0
Kentucky,129284438.0
Kentucky,71745899.0
Kentucky,54869978.0
Kentucky,12526.0
Kentucky,23.0
Kentucky,43740.0
Kentucky,24063.0
Kentucky,18.5
Kentucky,91845.0
Kentucky,1579477.0
Kentucky,63741066.0
Kentucky,2.9
Kentucky,280835.0
Kentucky,331546.0
Kentucky,184154.0
Kentucky,106011.0
Kentucky,27258.0
Kentucky,296155.0
Kentucky,33208.0
Kentucky,282704.0
Kentucky,109.9
Kentucky,39486.34
Louisiana,4681666.0
Louisiana,4533479.0
Louisiana,3.3
Louisiana,4533372.0
Louisiana,6.6
Louisiana,6.9
Louisiana,23.8
Louisiana,24.7
Louisiana,14.4
Louisiana,12.3
Louisiana,51.1
Louisiana,51.0
Louisiana,63.2
Louisiana,32.6
Louisiana,0.8
Louisiana,1.8
Louisiana,0.1
Louisiana,1.6
Louisiana,5.0
Louisiana,59.0
Louisiana,281989.0
Louisiana,4.0
Louisiana,2036975.0
Louisiana,1964981.0
Louisiana,65.8
Louisiana,144100.0
Louisiana,1200.0
Louisiana,317.0
Louisiana,788.0
Louisiana,14503.0
Louisiana,1727919.0
Louisiana,2.6
Louisiana,86.3
Louisiana,8.5
Louisiana,83.4
Louisiana,22.5
Louisiana,11.0
Louisiana,11.9
Louisiana,60.4
Louisiana,56.0
Louisiana,11697949.0
Louisiana,27951792.0
Louisiana,271191050.0
Louisiana,68012838.0
Louisiana,61396364.0
Louisiana,13342.0
Louisiana,25.1
Louisiana,45047.0
Louisiana,24981.0
Louisiana,20.2
Louisiana,105575.0
Louisiana,1724973.0
Louisiana,76684760.0
Louisiana,0.4
Louisiana,358223.0
Louisiana,414291.0
Louisiana,215111.0
Louisiana,151114.0
Louisiana,126100.0
Louisiana,277676.0
Louisiana,42211.0
Louisiana,354460.0
Louisiana,104.9
Louisiana,43203.9
Maine,1331479.0
Maine,1328364.0
Maine,0.2
Maine,1328361.0
Maine,4.9
Maine,5.2
Maine,19.1
Maine,20.7
Maine,19.4
Maine,15.9
Maine,51.0
Maine,51.1
Maine,94.8
Maine,1.5
Maine,0.7
Maine,1.2
Maine,1.7
Maine,1.6
Maine,93.5
Maine,119058.0
Maine,3.5
Maine,730705.0
Maine,721830.0
Maine,71.2
Maine,173800.0
Maine,1336.0
Maine,477.0
Maine,777.0
Maine,4010.0
Maine,553284.0
Maine,2.34
Maine,85.9
Maine,6.6
Maine,91.6
Maine,29.0
Maine,11.9
Maine,9.9
Maine,63.4
Maine,59.9
Maine,2901347.0
Maine,10297043.0
Maine,16044543.0
Maine,12961262.0
Maine,21521714.0
Maine,16192.0
Maine,23.6
Maine,49331.0
Maine,27655.0
Maine,12.5
Maine,40801.0
Maine,500549.0
Maine,20413159.0
Maine,1.6
Maine,113012.0
Maine,139570.0
Maine,79243.0
Maine,42067.0
Maine,4339.0
Maine,131322.0
Maine,15689.0
Maine,115839.0
Maine,43.1
Maine,30842.92
Maryland,6016447.0
Maryland,5773786.0
Maryland,4.2
Maryland,5773552.0
Maryland,6.1
Maryland,6.3
Maryland,22.4
Maryland,23.4
Maryland,14.6
Maryland,12.3
Maryland,51.6
Maryland,51.6
