Date,state,handgun,long_gun,other,multiple,totals
2017-06-01,California,42726.0,23807.0,2763.0,0,130187
2017-06-01,Colorado,17781.0,11298.0,1151.0,1038,36459
2017-06-01,Connecticut,6203.0,1765.0,243.0,0,16504
2017-06-01,Delaware,1724.0,1082.0,74.0,66,3634
2017-06-01,District of Columbia,52.0,5.0,0.0,0,74
2017-06-01,Florida,52114.0,19380.0,3260.0,2012,100508
2017-06-01,Georgia,13617.0,6474.0,394.0,497,39874
2017-06-01,Guam,94.0,42.0,8.0,10,156
2017-06-01,Hawaii,0.0,0.0,0.0,0,1083
2017-06-01,Idaho,3645.0,3698.0,184.0,184,20241
2017-06-01,Illinois,21394.0,9491.0,0.0,790,113889
2017-06-01,Indiana,18351.0,9706.0,1093.0,528,49689
2017-06-01,Iowa,98.0,1641.0,36.0,3,8352
2017-06-01,Kansas,5625.0,3788.0,355.0,280,13485
2017-06-01,Kentucky,8765.0,5223.0,265.0,469,392002
2017-06-01,Louisiana,11706.0,6324.0,859.0,540,23497
2017-06-01,Maine,3064.0,2188.0,210.0,155,6474
2017-06-01,Mariana Islands,9.0,2.0,0.0,1,12
2017-06-01,Maryland,3968.0,3963.0,250.0,19,10945
2017-06-01,Massachusetts,5612.0,2287.0,329.0,149,15841
2017-06-01,Michigan,11170.0,7578.0,463.0,200,37088
2017-06-01,Minnesota,6258.0,7505.0,515.0,286,44775
2017-06-01,Mississippi,7987.0,4029.0,268.0,382,17154
2017-06-01,Missouri,19459.0,11470.0,1200.0,935,36752
2017-06-01,Montana,3026.0,3727.0,162.0,212,9901
2017-06-01,Nebraska,99.0,1261.0,22.0,2,4265
2017-06-01,Nevada,4449.0,2337.0,242.0,219,10602
2017-06-01,New Hampshire,4836.0,2412.0,164.0,2,9184
2017-06-01,New Jersey,5022.0,2586.0,182.0,0,7790
2017-06-01,New Mexico,5152.0,3486.0,421.0,261,11398
2017-06-01,New York,10784.0,11309.0,921.0,196,27677
2017-06-01,North Carolina,1581.0,9570.0,558.0,228,39169
2017-06-01,North Dakota,1426.0,1942.0,97.0,59,4939
2017-06-01,Ohio,23703.0,13536.0,1324.0,973,53164
2017-06-01,Oklahoma,11872.0,7459.0,942.0,778,24632
2017-06-01,Oregon,13632.0,9218.0,0.0,1,27103
2017-06-01,Pennsylvania,41408.0,11117.0,200.0,0,76201
2017-06-01,Puerto Rico,1339.0,211.0,32.0,35,1631
2017-06-01,Rhode Island,1053.0,592.0,65.0,151,1899
2017-06-01,South Carolina,11431.0,4533.0,473.0,445,32995
2017-06-01,South Dakota,2215.0,2458.0,244.0,142,6704
2017-06-01,Tennessee,23369.0,11558.0,1237.0,0,52959
2017-06-01,Texas,48895.0,29119.0,3000.0,2307,118091
2017-06-01,Utah,3307.0,2989.0,208.0,0,22138
2017-06-01,Vermont,1296.0,973.0,71.0,41,2382
2017-06-01,Virgin Islands,25.0,2.0,0.0,0,153
2017-06-01,Virginia,22416.0,12706.0,959.0,0,36838
2017-06-01,Washington,16674.0,9805.0,1694.0,604,46023
2017-06-01,West Virginia,5409.0,4165.0,229.0,328,14498
2017-06-01,Wisconsin,13463.0,9959.0,640.0,41,36267
2017-06-01,Wyoming,1520.0,1544.0,107.0,85,3975
2017-05-01,Alabama,7198.0,4559.0,254.0,309,33331
2017-05-01,Alaska,2851.0,2459.0,216.0,170,6442
2017-05-01,Arizona,12002.0,6555.0,951.0,621,28734
2017-05-01,Arkansas,5181.0,3981.0,217.0,275,16749
2017-05-01,California,42442.0,24495.0,2760.0,0,129307
2017-05-01,Colorado,17085.0,11165.0,1102.0,988,36008
2017-05-01,Connecticut,5951.0,1862.0,222.0,0,16149
2017-05-01,Delaware,1752.0,1087.0,69.0,72,4012
2017-05-01,District of Columbia,66.0,4.0,0.0,2,82
2017-05-01,Florida,49700.0,18476.0,3001.0,1907,96556
2017-05-01,Georgia,12163.0,6211.0,406.0,442,36905
2017-05-01,Guam,93.0,49.0,7.0,8,157
2017-05-01,Hawaii,0.0,0.0,0.0,0,1117
2017-05-01,Idaho,3267.0,3699.0,194.0,181,13065
2017-05-01,Illinois,22244.0,9252.0,0.0,774,121746
2017-05-01,Indiana,18110.0,9483.0,1060.0,618,54347
2017-05-01,Iowa,196.0,1759.0,53.0,3,10232
2017-05-01,Kansas,5022.0,3818.0,369.0,295,12337
2017-05-01,Kentucky,8690.0,5378.0,223.0,433,391740
2017-05-01,Louisiana,10362.0,6302.0,731.0,544,21311
2017-05-01,Maine,3236.0,2540.0,224.0,184,7200
2017-05-01,Mariana Islands,10.0,1.0,1.0,0,12
2017-05-01,Maryland,4539.0,4244.0,212.0,30,11660
2017-05-01,Massachusetts,5100.0,2526.0,359.0,164,16651
2017-05-01,Michigan,10483.0,7055.0,402.0,191,38548
2017-05-01,Minnesota,7916.0,7597.0,631.0,327,55570
2017-05-01,Mississippi,7002.0,3938.0,277.0,326,15680
2017-05-01,Missouri,18290.0,11468.0,1067.0,857,34965
2017-05-01,Montana,2660.0,3762.0,170.0,199,9418
2017-05-01,Nebraska,109.0,1256.0,23.0,5,5025
2017-05-01,Nevada,4630.0,2288.0,242.0,234,9803
2017-05-01,New Hampshire,4614.0,2472.0,158.0,5,8868
2017-05-01,New Jersey,5569.0,2931.0,194.0,0,8694
2017-05-01,New Mexico,5204.0,3381.0,394.0,263,11291
2017-05-01,New York,11633.0,12857.0,957.0,183,31294
2017-05-01,North Carolina,1363.0,9129.0,673.0,206,39413
2017-05-01,North Dakota,1413.0,1866.0,95.0,57,4654
2017-05-01,Ohio,25230.0,12924.0,1375.0,1059,56229
2017-05-01,Oklahoma,10599.0,7270.0,897.0,728,22693
2017-05-01,Oregon,13261.0,9115.0,0.0,3,26466
